,precision,recall,f1-score,support,auroc,auprc,fold
"DNA, RNA and nucleotide metabolism",0.6908212560386473,0.6713615023474179,0.6809523809523809,213.0,0.8818534394774443,0.7189054970096349,0
connector,0.2972972972972973,0.4074074074074074,0.34375,27.0,0.9154987479911798,0.276971583058229,0
head and packaging,0.5119617224880383,0.5661375661375662,0.5376884422110553,189.0,0.829800677810328,0.5691518999295171,0
integration and excision,0.5909090909090909,0.6190476190476191,0.6046511627906977,21.0,0.8926302717676841,0.5594361549952437,0
lysis,0.6666666666666666,0.6440677966101694,0.6551724137931034,59.0,0.9227125713578763,0.6728717658856724,0
"moron, auxiliary metabolic gene and host takeover",0.5285714285714286,0.40217391304347827,0.45679012345679015,92.0,0.8096417503990985,0.49118694284292264,0
other,0.5287356321839081,0.4107142857142857,0.4623115577889447,112.0,0.801117549668874,0.4671989362346137,0
tail,0.6879699248120301,0.75,0.7176470588235293,244.0,0.9117184521540221,0.7637384820625118,0
transcription regulation,0.5714285714285714,0.5901639344262295,0.5806451612903226,61.0,0.8831560374805145,0.6144761096467077,0
accuracy,0.6031434184675835,0.6031434184675835,0.6031434184675835,0.6031434184675835,0.6031434184675835,0.6031434184675835,0
macro avg,0.5638179544884088,0.5623415583037971,0.5599564779007582,1018.0,,,0
weighted avg,0.6033830167980058,0.6031434184675835,0.6008142363213964,1018.0,,,0
micro,,,,,0.8831560374805145,0.63,0
"DNA, RNA and nucleotide metabolism",0.5816733067729084,0.6854460093896714,0.6293103448275862,213.0,0.8728807628378968,0.7087902453261932,1
connector,0.36363636363636365,0.4444444444444444,0.39999999999999997,27.0,0.9020069514519564,0.4003090201489954,1
head and packaging,0.6050955414012739,0.5026455026455027,0.5491329479768786,189.0,0.8604170256763743,0.6113466753956905,1
integration and excision,0.5,0.38095238095238093,0.4324324324324324,21.0,0.7854515928738597,0.3409897303917826,1
lysis,0.6779661016949152,0.6666666666666666,0.6722689075630253,60.0,0.9332811412665275,0.6818182564647745,1
"moron, auxiliary metabolic gene and host takeover",0.48148148148148145,0.42391304347826086,0.45086705202312133,92.0,0.8095008921025448,0.4355850090616195,1
other,0.4811320754716981,0.45535714285714285,0.46788990825688076,112.0,0.8269867549668876,0.5292421873447004,1
tail,0.6654411764705882,0.7418032786885246,0.7015503875968992,244.0,0.908994154276274,0.7840648470946484,1
transcription regulation,0.6744186046511628,0.48333333333333334,0.5631067961165049,60.0,0.86687543493389,0.5039246784975051,1
accuracy,0.5903732809430255,0.5903732809430255,0.5903732809430255,0.5903732809430255,0.5903732809430255,0.5903732809430255,1
macro avg,0.558982739064488,0.5316179780506586,0.5407287529770365,1018.0,,,1
weighted avg,0.5896576342577275,0.5903732809430255,0.586340458744892,1018.0,,,1
micro,,,,,0.86687543493389,0.63,1
"DNA, RNA and nucleotide metabolism",0.6544502617801047,0.5868544600938967,0.6188118811881188,213.0,0.85966815385064,0.685577391392174,2
connector,0.25,0.25925925925925924,0.2545454545454545,27.0,0.9274956086257802,0.2685750302943471,2
head and packaging,0.5142857142857142,0.5684210526315789,0.54,190.0,0.8442028985507246,0.6081317243618592,2
integration and excision,0.5714285714285714,0.5714285714285714,0.5714285714285714,21.0,0.8586712518507905,0.48662432054065285,2
lysis,0.6875,0.7333333333333333,0.7096774193548386,60.0,0.9203723034098817,0.7180687819333514,2
"moron, auxiliary metabolic gene and host takeover",0.46464646464646464,0.5,0.4816753926701571,92.0,0.8067072025542305,0.4880131594317201,2
other,0.5405405405405406,0.5357142857142857,0.5381165919282511,112.0,0.8214827735730054,0.584589897192225,2
tail,0.6842105263157895,0.6954732510288066,0.689795918367347,243.0,0.9088915438736227,0.7586524918330729,2
transcription regulation,0.6595744680851063,0.5166666666666667,0.5794392523364487,60.0,0.9077070285316632,0.6188319036860807,2
accuracy,0.5913555992141454,0.5913555992141454,0.5913555992141454,0.5913555992141454,0.5913555992141454,0.5913555992141454,2
macro avg,0.5585151718980322,0.551905653350711,0.5537211646465763,1018.0,,,2
weighted avg,0.5955184997458806,0.5913555992141454,0.5921711796190154,1018.0,,,2
micro,,,,,0.9077070285316632,0.64,2
"DNA, RNA and nucleotide metabolism",0.58203125,0.6995305164319249,0.6353944562899786,213.0,0.8711431107373928,0.6957682437446975,3
connector,0.46511627906976744,0.7692307692307693,0.5797101449275363,26.0,0.9309943336179461,0.610564177284249,3
head and packaging,0.5894039735099338,0.4708994708994709,0.5235294117647059,189.0,0.8275950208317358,0.5985682213592242,3
integration and excision,0.4444444444444444,0.38095238095238093,0.41025641025641024,21.0,0.8837253777012813,0.4753378531468648,3
lysis,0.6428571428571429,0.6,0.6206896551724138,60.0,0.8948101706722397,0.6274967312260415,3
"moron, auxiliary metabolic gene and host takeover",0.5,0.3626373626373626,0.4203821656050955,91.0,0.8096385256212469,0.47195626332562784,3
other,0.5463917525773195,0.4732142857142857,0.507177033492823,112.0,0.8290252565114442,0.5081002708827838,3
tail,0.6941176470588235,0.7254098360655737,0.7094188376753506,244.0,0.9183429474264627,0.7650792513631517,3
transcription regulation,0.52,0.639344262295082,0.573529411764706,61.0,0.9149633033815762,0.5965343269473304,3
accuracy,0.5939036381514258,0.5939036381514258,0.5939036381514258,0.5939036381514258,0.5939036381514258,0.5939036381514258,3
macro avg,0.5538180543908258,0.56902432046965,0.5533430585498911,1017.0,,,3
weighted avg,0.5930662483529656,0.5939036381514258,0.5883553599201895,1017.0,,,3
micro,,,,,0.9149633033815762,0.63,3
"DNA, RNA and nucleotide metabolism",0.6289592760180995,0.6525821596244131,0.6405529953917052,213.0,0.8662555765772078,0.6924854087176653,4
connector,0.3055555555555556,0.4230769230769231,0.3548387096774194,26.0,0.9267639524955368,0.30886905436928297,4
head and packaging,0.5172413793103449,0.5555555555555556,0.5357142857142857,189.0,0.841653247450349,0.5500117750539615,4
integration and excision,0.7142857142857143,0.47619047619047616,0.5714285714285714,21.0,0.8032606616943966,0.4617057340499217,4
lysis,0.4939759036144578,0.6833333333333333,0.5734265734265734,60.0,0.91597004528039,0.6515531210690013,4
"moron, auxiliary metabolic gene and host takeover",0.4342105263157895,0.3626373626373626,0.39520958083832336,91.0,0.796845702893219,0.4001515766167883,4
other,0.640625,0.36607142857142855,0.4659090909090909,112.0,0.8216456195737964,0.5160502422568325,4
tail,0.698744769874477,0.6844262295081968,0.6915113871635611,244.0,0.9044228362988569,0.7877147483173004,4
transcription regulation,0.4691358024691358,0.6229508196721312,0.5352112676056338,61.0,0.8953374717058783,0.4966356846567848,4
accuracy,0.5752212389380531,0.5752212389380531,0.5752212389380531,0.5752212389380531,0.5752212389380531,0.5752212389380531,4
macro avg,0.5447482141603972,0.5363138097966468,0.5293113846839071,1017.0,,,4
weighted avg,0.5847434718166655,0.5752212389380531,0.5730990606741383,1017.0,,,4
micro,,,,,0.8953374717058783,0.61,4
