,precision,recall,f1-score,support,auroc,auprc,fold
"DNA, RNA and nucleotide metabolism",0.6986301369863014,0.7183098591549296,0.7083333333333335,213.0,0.908587758434666,0.8058013830425361,0
connector,0.375,0.4444444444444444,0.4067796610169491,27.0,0.895765594050155,0.29414410835313903,0
head and packaging,0.6792452830188679,0.5714285714285714,0.6206896551724137,189.0,0.8908482840931574,0.7194732462058164,0
integration and excision,0.5384615384615384,0.6666666666666666,0.5957446808510638,21.0,0.9899221473945646,0.6728733644542153,0
lysis,0.5942028985507246,0.6949152542372882,0.6406250000000001,59.0,0.9390608154680901,0.7203591734141356,0
"moron, auxiliary metabolic gene and host takeover",0.5606060606060606,0.40217391304347827,0.46835443037974683,92.0,0.8587895577049488,0.5314192994818432,0
other,0.49411764705882355,0.375,0.4263959390862944,112.0,0.8365953169347209,0.45189914445823604,0
tail,0.6891891891891891,0.8360655737704918,0.7555555555555555,244.0,0.9312068454272038,0.8303084945015978,0
transcription regulation,0.5,0.5409836065573771,0.5196850393700788,61.0,0.9411412028709937,0.6069015276935732,0
accuracy,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,0
macro avg,0.5699391948746118,0.583331987700361,0.5713514771961594,1018.0,,,0
weighted avg,0.6279521976417891,0.6326129666011788,0.6251249555035836,1018.0,,,0
micro,,,,,0.9411412028709937,0.71,0
"DNA, RNA and nucleotide metabolism",0.6990291262135923,0.676056338028169,0.6873508353221957,213.0,0.9003178491237279,0.7711527191860439,1
connector,0.46875,0.5555555555555556,0.5084745762711864,27.0,0.9022311918376499,0.5228848643368232,1
head and packaging,0.5963855421686747,0.5238095238095238,0.5577464788732395,189.0,0.8712798616296806,0.6408900373866806,1
integration and excision,0.391304347826087,0.42857142857142855,0.4090909090909091,21.0,0.8363184792472655,0.4164322357353372,1
lysis,0.6964285714285714,0.65,0.6724137931034482,60.0,0.9447286012526096,0.7141194564636985,1
"moron, auxiliary metabolic gene and host takeover",0.5,0.5,0.5,92.0,0.8538360409428116,0.4648072334064326,1
other,0.5116279069767442,0.39285714285714285,0.4444444444444445,112.0,0.8486873226111636,0.48614523995802017,1
tail,0.7024221453287197,0.8319672131147541,0.7617260787992496,244.0,0.9310374041597832,0.8250678464650634,1
transcription regulation,0.47058823529411764,0.5333333333333333,0.5,60.0,0.9320111343075852,0.5702224911903521,1
accuracy,0.6198428290766208,0.6198428290766208,0.6198428290766208,0.6198428290766208,0.6198428290766208,0.6198428290766208,1
macro avg,0.5596150972485008,0.5657945039188785,0.5601385684338526,1018.0,,,1
weighted avg,0.6161081042266079,0.6198428290766208,0.6150523611708277,1018.0,,,1
micro,,,,,0.9320111343075852,0.68,1
"DNA, RNA and nucleotide metabolism",0.6914893617021277,0.6103286384976526,0.6483790523690773,213.0,0.8925028431458315,0.7570326214894256,2
connector,0.4,0.5185185185185185,0.45161290322580644,27.0,0.9381844003438352,0.4694951736262565,2
head and packaging,0.6707317073170732,0.5789473684210527,0.6214689265536724,190.0,0.8848525298754132,0.6935722099067892,2
integration and excision,0.7,0.6666666666666666,0.6829268292682926,21.0,0.9294072694273297,0.6971571414871254,2
lysis,0.5,0.6333333333333333,0.5588235294117647,60.0,0.9441022964509395,0.5832629302043904,2
"moron, auxiliary metabolic gene and host takeover",0.45977011494252873,0.43478260869565216,0.44692737430167595,92.0,0.8613484834256737,0.5100574122783837,2
other,0.5631067961165048,0.5178571428571429,0.5395348837209303,112.0,0.8625335067801956,0.5840641244855018,2
tail,0.7204301075268817,0.8271604938271605,0.7701149425287357,243.0,0.9404115226337448,0.8287051993224223,2
transcription regulation,0.5909090909090909,0.65,0.6190476190476191,60.0,0.9622999304105776,0.6565183463234581,2
accuracy,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,0.6326129666011788,2
macro avg,0.5884930198349118,0.6041771967574644,0.593204006714175,1018.0,,,2
weighted avg,0.6346877522162436,0.6326129666011788,0.6307212881690435,1018.0,,,2
micro,,,,,0.9622999304105776,0.7,2
"DNA, RNA and nucleotide metabolism",0.6952380952380952,0.6854460093896714,0.6903073286052009,213.0,0.9197731997290542,0.7927735496847857,3
connector,0.53125,0.6538461538461539,0.5862068965517242,26.0,0.8927268493363347,0.6100079170496706,3
head and packaging,0.6326530612244898,0.49206349206349204,0.5535714285714285,189.0,0.8688303555453314,0.6684567449145709,3
integration and excision,0.7058823529411765,0.5714285714285714,0.6315789473684211,21.0,0.9470262000382482,0.636823906915398,3
lysis,0.5972222222222222,0.7166666666666667,0.6515151515151515,60.0,0.9496342737722047,0.716253683024547,3
"moron, auxiliary metabolic gene and host takeover",0.5428571428571428,0.4175824175824176,0.4720496894409938,91.0,0.8520399686706382,0.4948300097452424,3
other,0.4339622641509434,0.4107142857142857,0.42201834862385323,112.0,0.8219810576164167,0.44684058373580793,3
tail,0.6779661016949152,0.819672131147541,0.7421150278293136,244.0,0.9222424872224461,0.7818180227234314,3
transcription regulation,0.5735294117647058,0.639344262295082,0.6046511627906976,61.0,0.9603710816928459,0.6403368885599147,3
accuracy,0.6234021632251721,0.6234021632251721,0.6234021632251721,0.6234021632251721,0.6234021632251721,0.6234021632251721,3
macro avg,0.5989511835659657,0.6007515544593202,0.5948904423663095,1017.0,,,3
weighted avg,0.6199993137840245,0.6234021632251721,0.6169501197585896,1017.0,,,3
micro,,,,,0.9603710816928459,0.69,3
"DNA, RNA and nucleotide metabolism",0.6548672566371682,0.6948356807511737,0.6742596810933942,213.0,0.8968420806764301,0.7727323406263894,4
connector,0.4857142857142857,0.6538461538461539,0.5573770491803278,26.0,0.9545525110610882,0.47959504004742876,4
head and packaging,0.6089743589743589,0.5026455026455027,0.5507246376811594,189.0,0.8601334253508167,0.6409467174932193,4
integration and excision,0.8235294117647058,0.6666666666666666,0.7368421052631577,21.0,0.9255593803786575,0.7039992258044622,4
lysis,0.5113636363636364,0.75,0.6081081081081082,60.0,0.951619644723093,0.6632268280193582,4
"moron, auxiliary metabolic gene and host takeover",0.5,0.4175824175824176,0.4550898203592814,91.0,0.8362684831367337,0.4254559535222142,4
other,0.5492957746478874,0.3482142857142857,0.42622950819672134,112.0,0.8231748224151538,0.510212979920512,4
tail,0.7286821705426356,0.7704918032786885,0.749003984063745,244.0,0.9276557164973598,0.8389514911457888,4
transcription regulation,0.4666666666666667,0.6885245901639344,0.5562913907284768,61.0,0.9475615611495987,0.637856154372639,4
accuracy,0.615535889872173,0.615535889872173,0.615535889872173,0.615535889872173,0.615535889872173,0.615535889872173,4
macro avg,0.5921215068123716,0.6103119000720915,0.5904362538527079,1017.0,,,4
weighted avg,0.6179681709016246,0.615535889872173,0.6096340885811717,1017.0,,,4
micro,,,,,0.9475615611495987,0.68,4
