,precision,recall,f1-score,support,auroc,auprc,fold
"DNA, RNA and nucleotide metabolism",0.5325670498084292,0.6525821596244131,0.5864978902953587,213.0,0.8469075321494183,0.60960405987,0
connector,0.2777777777777778,0.37037037037037035,0.3174603174603175,27.0,0.921852225585828,0.2077292573791715,0
head and packaging,0.48148148148148145,0.4126984126984127,0.4444444444444444,189.0,0.8082154185893631,0.5108828094739858,0
integration and excision,0.4,0.2857142857142857,0.3333333333333333,21.0,0.8924392224291924,0.3255970109450732,0
lysis,0.5735294117647058,0.6610169491525424,0.6141732283464567,59.0,0.9032890899772007,0.6271117287382124,0
"moron, auxiliary metabolic gene and host takeover",0.42028985507246375,0.31521739130434784,0.360248447204969,92.0,0.8135623063198422,0.4498313555127426,0
other,0.4819277108433735,0.35714285714285715,0.4102564102564102,112.0,0.7590665405234942,0.4457695653058986,0
tail,0.6483516483516484,0.7254098360655737,0.6847195357833655,244.0,0.8928760537128816,0.7609501193270847,0
transcription regulation,0.5294117647058824,0.4426229508196721,0.4821428571428572,61.0,0.8558678931771074,0.43167061154317793,0
accuracy,0.5353634577603144,0.5353634577603144,0.5353634577603144,0.5353634577603144,0.5353634577603144,0.5353634577603144,0
macro avg,0.4828151888673069,0.4691972458769416,0.47036405158527905,1018.0,,,0
weighted avg,0.5278089460012756,0.5353634577603144,0.5268227463508953,1018.0,,,0
micro,,,,,0.8558678931771074,0.57,0
"DNA, RNA and nucleotide metabolism",0.5865384615384616,0.5727699530516432,0.5795724465558195,213.0,0.835272504592774,0.6299278395013681,1
connector,0.32142857142857145,0.3333333333333333,0.32727272727272727,27.0,0.79668871697126,0.28891094569118003,1
head and packaging,0.4853801169590643,0.43915343915343913,0.4611111111111111,189.0,0.8010862835953305,0.46670343669845915,1
integration and excision,0.5,0.38095238095238093,0.4324324324324324,21.0,0.8417633853942781,0.34368171297278516,1
lysis,0.6271186440677966,0.6166666666666667,0.6218487394957983,60.0,0.893232428670842,0.5468804872405513,1
"moron, auxiliary metabolic gene and host takeover",0.44680851063829785,0.45652173913043476,0.45161290322580644,92.0,0.8097708705042727,0.38339906357227693,1
other,0.45555555555555555,0.36607142857142855,0.4059405940594059,112.0,0.7609882529170608,0.41535764406609577,1
tail,0.625,0.7172131147540983,0.6679389312977099,244.0,0.8822489092218411,0.7229099743256099,1
transcription regulation,0.4166666666666667,0.5,0.45454545454545453,60.0,0.8661099512874043,0.38956310461539706,1
accuracy,0.537328094302554,0.537328094302554,0.537328094302554,0.537328094302554,0.537328094302554,0.537328094302554,1
macro avg,0.4960551696504905,0.4869646728459361,0.4891417044440295,1018.0,,,1
weighted avg,0.5335008150162479,0.537328094302554,0.5334880749944778,1018.0,,,1
micro,,,,,0.8661099512874043,0.54,1
"DNA, RNA and nucleotide metabolism",0.49327354260089684,0.5164319248826291,0.5045871559633027,213.0,0.8312133671594787,0.5643483754763451,2
connector,0.375,0.5555555555555556,0.44776119402985076,27.0,0.9035018873565795,0.3713612962683057,2
head and packaging,0.5460526315789473,0.4368421052631579,0.48538011695906436,190.0,0.803184591914569,0.539537780205254,2
integration and excision,0.45454545454545453,0.47619047619047616,0.46511627906976744,21.0,0.8699431628217987,0.45105290645287716,2
lysis,0.463768115942029,0.5333333333333333,0.49612403100775193,60.0,0.9148051496172582,0.509247790285878,2
"moron, auxiliary metabolic gene and host takeover",0.42574257425742573,0.4673913043478261,0.44559585492227977,92.0,0.8251713775941403,0.4633752588358297,2
other,0.48484848484848486,0.42857142857142855,0.45497630331753547,112.0,0.8106571270892464,0.5231584389832357,2
tail,0.6944444444444444,0.720164609053498,0.7070707070707071,243.0,0.9116421080578786,0.7596425053663396,2
transcription regulation,0.4,0.4,0.4000000000000001,60.0,0.8991649269311065,0.37925474510445584,2
accuracy,0.5304518664047151,0.5304518664047151,0.5304518664047151,0.5304518664047151,0.5304518664047151,0.5304518664047151,2
macro avg,0.4819639164686314,0.5038311930219894,0.48962351581558444,1018.0,,,2
weighted avg,0.532942193723655,0.5304518664047151,0.529561953678524,1018.0,,,2
micro,,,,,0.8991649269311065,0.57,2
"DNA, RNA and nucleotide metabolism",0.5979381443298969,0.5446009389671361,0.5700245700245701,213.0,0.8613622030691612,0.6428837366585239,3
connector,0.3090909090909091,0.6538461538461539,0.41975308641975306,26.0,0.8531786074672049,0.3978666512408308,3
head and packaging,0.445859872611465,0.37037037037037035,0.40462427745664736,189.0,0.7670487948265726,0.45318073491966326,3
integration and excision,0.4375,0.3333333333333333,0.37837837837837834,21.0,0.9005067890610059,0.39943601261093115,3
lysis,0.4625,0.6166666666666667,0.5285714285714286,60.0,0.9029606408916754,0.5333187533373327,3
"moron, auxiliary metabolic gene and host takeover",0.4782608695652174,0.3626373626373626,0.41250000000000003,91.0,0.7795552180001423,0.3997132698567307,3
other,0.5217391304347826,0.42857142857142855,0.47058823529411764,112.0,0.7965568271507498,0.4757946101714977,3
tail,0.6443661971830986,0.75,0.6931818181818183,244.0,0.8992853052828028,0.7302699287792297,3
transcription regulation,0.42857142857142855,0.4918032786885246,0.4580152671755725,61.0,0.916163660058989,0.40353534880184255,3
accuracy,0.5319567354965585,0.5319567354965585,0.5319567354965585,0.5319567354965585,0.5319567354965585,0.5319567354965585,3
macro avg,0.4806473946429775,0.5057588370089974,0.4817374512780318,1017.0,,,3
weighted avg,0.5328681762997662,0.5319567354965585,0.5268256745808257,1017.0,,,3
micro,,,,,0.916163660058989,0.55,3
"DNA, RNA and nucleotide metabolism",0.4889867841409692,0.5211267605633803,0.5045454545454545,213.0,0.8179232943264896,0.565174432975955,4
connector,0.3333333333333333,0.46153846153846156,0.3870967741935484,26.0,0.8888457657377941,0.3758622216559178,4
head and packaging,0.4966887417218543,0.3968253968253968,0.4411764705882353,189.0,0.7932354369552438,0.47395695514660374,4
integration and excision,0.47058823529411764,0.38095238095238093,0.42105263157894735,21.0,0.796758462421113,0.3812471041947562,4
lysis,0.4868421052631579,0.6166666666666667,0.5441176470588235,60.0,0.9166492511320097,0.5155434534061715,4
"moron, auxiliary metabolic gene and host takeover",0.3904761904761905,0.45054945054945056,0.41836734693877553,91.0,0.7908171741865048,0.36853352630345804,4
other,0.5,0.2767857142857143,0.3563218390804598,112.0,0.7870461720599843,0.4507306101077584,4
tail,0.6507352941176471,0.7254098360655737,0.686046511627907,244.0,0.8860729964159226,0.7614302996438039,4
transcription regulation,0.4084507042253521,0.47540983606557374,0.4393939393939394,61.0,0.8812504286988133,0.3571169810135538,4
accuracy,0.512291052114061,0.512291052114061,0.512291052114061,0.512291052114061,0.512291052114061,0.512291052114061,4
macro avg,0.46956682095251356,0.478362722612511,0.46645762388956563,1017.0,,,4
weighted avg,0.5123069234875862,0.512291052114061,0.5059804018326032,1017.0,,,4
micro,,,,,0.8812504286988133,0.54,4
