cluster,predicted_category,model_score,model_std
NODE_10004_length_3863_cov_4.621849_2,head and packaging,0.5306598,0.16953489184379578
NODE_10004_length_3863_cov_4.621849_3,unknown,0.9674085,
NODE_10004_length_3863_cov_4.621849_4,head and packaging,0.7985423,
NODE_10004_length_3863_cov_4.621849_5,head and packaging,0.99975294,
NODE_10004_length_3863_cov_4.621849_6,head and packaging,0.9244767,
NODE_1000_length_36163_cov_7.020577_1,unknown,0.99909806,0.0005982203874737024
NODE_1000_length_36163_cov_7.020577_10,unknown,0.2515754,8.940696716308594e-08
NODE_1000_length_36163_cov_7.020577_11,other,0.92127675,5.960464477539062e-07
NODE_1000_length_36163_cov_7.020577_12,unknown,0.96307456,1.7881393432617188e-07
NODE_1000_length_36163_cov_7.020577_13,transcription regulation,0.9996801,0.00023919294471852481
NODE_1000_length_36163_cov_7.020577_25,unknown,0.6626324,0.28324276208877563
NODE_1000_length_36163_cov_7.020577_26,unknown,0.82009065,2.384185791015625e-07
NODE_1000_length_36163_cov_7.020577_28,unknown,0.83977175,0.049376025795936584
NODE_1000_length_36163_cov_7.020577_29,unknown,0.8226262,0.11307234317064285
NODE_1000_length_36163_cov_7.020577_3,unknown,0.974366,0.019849300384521484
NODE_1000_length_36163_cov_7.020577_37,unknown,0.98334265,
NODE_1000_length_36163_cov_7.020577_4,unknown,0.9974716,
NODE_1000_length_36163_cov_7.020577_5,"moron, auxiliary metabolic gene and host takeover",0.6417923,
NODE_1000_length_36163_cov_7.020577_6,unknown,0.99562,
NODE_1000_length_36163_cov_7.020577_7,unknown,0.9986442,0.0
NODE_1000_length_36163_cov_7.020577_8,unknown,0.94698703,0.047169070690870285
NODE_1001_length_15078_cov_8.768488_15,unknown,0.9112229,0.03266865760087967
NODE_1001_length_15078_cov_8.768488_16,unknown,0.9547,
NODE_1001_length_15078_cov_8.768488_17,unknown,0.9999188,
NODE_1001_length_15078_cov_8.768488_3,unknown,0.99178374,0.0038727521896362305
NODE_10045_length_6792_cov_7.607837_1,unknown,0.9953449,
NODE_10045_length_6792_cov_7.607837_2,unknown,0.9719855,0.014621508307754993
NODE_1005_length_18551_cov_5.166414_11,"moron, auxiliary metabolic gene and host takeover",0.9900137,0.01680159382522106
NODE_1005_length_18551_cov_5.166414_2,unknown,0.99292964,
NODE_1005_length_18551_cov_5.166414_3,tail,0.87611425,0.0674041211605072
NODE_1005_length_18551_cov_5.166414_7,unknown,0.64673114,0.20529605448246002
NODE_10066_length_3937_cov_1.880216_1,unknown,0.6763934,
NODE_10066_length_3937_cov_1.880216_2,head and packaging,0.8787289,
NODE_10066_length_3937_cov_1.880216_3,unknown,0.95979375,
NODE_10069_length_11680_cov_3.060989_10,unknown,0.96910053,
NODE_10069_length_11680_cov_3.060989_11,tail,0.6586037,0.20604687929153442
NODE_10069_length_11680_cov_3.060989_13,tail,0.88026714,
NODE_10069_length_11680_cov_3.060989_2,unknown,0.9832656,0.008844350464642048
NODE_10069_length_11680_cov_3.060989_3,unknown,0.85075414,0.13076189160346985
NODE_10069_length_11680_cov_3.060989_4,unknown,0.8424146,0.07306604832410812
NODE_10069_length_11680_cov_3.060989_5,unknown,0.76966476,0.13187815248966217
NODE_10069_length_11680_cov_3.060989_7,head and packaging,0.42905027,0.1234874576330185
NODE_1006_length_34612_cov_8.211998_10,other,0.99769676,0.00029672958771698177
NODE_1006_length_34612_cov_8.211998_11,unknown,0.9993797,4.5056875563886933e-08
NODE_1006_length_34612_cov_8.211998_12,unknown,0.990855,0.0017010582378134131
NODE_1006_length_34612_cov_8.211998_14,unknown,0.76735353,0.007233611308038235
NODE_1006_length_34612_cov_8.211998_17,head and packaging,0.9943923,0.003677431493997574
NODE_1006_length_34612_cov_8.211998_18,tail,0.99822986,0.00026945516583509743
NODE_1006_length_34612_cov_8.211998_2,transcription regulation,0.9999878,3.559683534604119e-07
NODE_1006_length_34612_cov_8.211998_20,unknown,0.98714095,1.0804259886754153e-07
NODE_1006_length_34612_cov_8.211998_21,unknown,0.9620479,0.0002955929085146636
NODE_1006_length_34612_cov_8.211998_22,unknown,0.70068794,0.017562543973326683
NODE_1006_length_34612_cov_8.211998_23,unknown,0.69631267,0.018995841965079308
NODE_1006_length_34612_cov_8.211998_24,unknown,0.48450083,0.0557221844792366
NODE_1006_length_34612_cov_8.211998_28,head and packaging,0.7287449,0.00019556283950805664
NODE_1006_length_34612_cov_8.211998_29,head and packaging,0.9437184,0.0025478005409240723
NODE_1006_length_34612_cov_8.211998_30,unknown,0.4752425,0.012447342276573181
NODE_1006_length_34612_cov_8.211998_31,tail,0.88469267,0.1073194220662117
NODE_1006_length_34612_cov_8.211998_33,unknown,0.66690385,0.10869935154914856
NODE_1006_length_34612_cov_8.211998_34,unknown,0.9666421,2.2034916469237942e-07
NODE_1006_length_34612_cov_8.211998_35,"moron, auxiliary metabolic gene and host takeover",0.7774105,1.8137841379939346e-06
NODE_1006_length_34612_cov_8.211998_37,unknown,0.8210531,8.18705473193404e-07
NODE_1006_length_34612_cov_8.211998_38,connector,0.9594169,0.01718636229634285
NODE_1006_length_34612_cov_8.211998_4,unknown,0.9251762,0.006409977097064257
NODE_1006_length_34612_cov_8.211998_5,unknown,0.97075266,8.72522676331755e-08
NODE_1006_length_34612_cov_8.211998_6,unknown,0.4831546,0.0030182411428540945
NODE_1006_length_34612_cov_8.211998_7,unknown,0.9143254,0.029080139473080635
NODE_1006_length_34612_cov_8.211998_8,other,0.9131816,0.010363630019128323
NODE_100889_length_1146_cov_3.679193_1,head and packaging,0.9857967,0.01778923161327839
NODE_10091_length_11649_cov_5.186303_1,head and packaging,0.994911,
NODE_10091_length_11649_cov_5.186303_2,unknown,0.7894141,
