#phrog,mean_vector_sim,sd_vector_sim,num_sequences
phrog_32629,0.9933308,0.0,2
phrog_25355,0.90401196,0.020733604,3
phrog_3798,0.913373,0.04132435,37
phrog_15296,0.97263896,0.033440452,6
phrog_35146,1.0000002,0.0,2
phrog_14188,0.99921465,0.00062097685,7
phrog_2486,0.9497346,0.035429277,59
phrog_23724,0.84653693,0.066506885,3
phrog_34258,0.9919623,0.0,2
phrog_33537,0.8700911,0.0,2
phrog_3940,0.9582041,0.030218998,36
phrog_27542,0.94660497,0.010683277,3
phrog_28671,0.88067085,0.0,2
phrog_16947,0.93789923,0.026184406,5
phrog_26884,0.9023919,0.047713842,3
phrog_37751,0.98965245,0.0,2
phrog_8815,1.0000001,1.1920929e-07,12
phrog_38462,1.0000001,0.0,2
phrog_17481,0.94537276,0.03355289,5
phrog_6838,0.93634117,0.035902392,17
phrog_21133,0.98569494,0.0055838553,4
phrog_37989,1.0000002,0.0,2
phrog_31320,1.0,0.0,2
phrog_11796,0.55056137,0.3137804,9
phrog_7298,0.9166163,0.0542696,16
phrog_31446,0.99338335,0.0,2
phrog_29209,0.9862464,0.0,2
phrog_1831,0.9435735,0.040987607,82
phrog_36329,0.99772274,0.0,2
phrog_30980,1.0,0.0,2
phrog_21655,0.99999994,0.0,4
phrog_37037,0.9394767,0.0,2
phrog_38304,0.97543323,0.0,2
phrog_6186,0.9429039,0.05690644,20
phrog_10488,0.94344956,0.04742042,10
phrog_27224,0.976796,0.007896453,3
phrog_28117,0.9486766,0.0,2
phrog_30758,1.0000005,0.0,2
phrog_33251,1.0,0.0,2
phrog_259,0.9793151,0.032162685,465
phrog_13181,0.9702281,0.032494448,7
phrog_23042,0.9132459,0.035492025,3
phrog_4949,0.8538163,0.15632519,27
phrog_35620,0.98977757,0.0,2
phrog_14836,0.9335506,0.040146936,6
phrog_4791,0.98426473,0.0313765,28
phrog_25433,0.99117345,0.005427755,3
phrog_33245,0.99999976,0.0,2
phrog_13195,0.99078476,0.01005103,7
phrog_24739,0.7875479,0.12426389,3
